title,url,pub_date,duration,status,filename,size_mb,format,guid,speakers,transcription_status,transcript_path,diarization_status,diarized_transcript_path
"NerdCast 1027 - Hobbies: Ciência, Prazer e Prejuízo",https://pdst.fm/e/traffic.megaphone.fm/JNPD9435650397.mp3?updated=1777050788,2026-04-24,96m13s,downloaded,NerdCast 1027 - Hobbies_ Ciência_ Prazer e Prejuízo.mp3,64.4,mp3,858faff4-3fff-11f1-967e-37af5349d2d4,Alottoni|Azaghal|Altay de Souza|Ana Arantes|Sr. K,not_transcribed,,not_diarized,
NerdCast 1026 - Artemis II: A Nova Era da Humanidade na Lua,https://pdst.fm/e/traffic.megaphone.fm/JNPD1961790917.mp3?updated=1776451937,2026-04-17,94m05s,downloaded,NerdCast 1026 - Artemis II_ A Nova Era da Humanidade na Lua.mp3,63.1,mp3,0a7470a6-3a8d-11f1-9c02-e3c72f761653,Alottoni|Pedro Pallotta|Katiucha Barcelos|Marcel Campos|Azaghal|Carlos Voltor,not_transcribed,,not_diarized,
NerdCast 1025 - Devoradores de Estrelas: Rocky e Grace Salvam o Cinema,https://pdst.fm/e/traffic.megaphone.fm/JNPD3357186011.mp3?updated=1775856129,2026-04-10,126m27s,downloaded,NerdCast 1025 - Devoradores de Estrelas_ Rocky e Grace Salvam o Cinema.mp3,,,cf270108-3519-11f1-881d-5ffe40284285,Alottoni|Gaveta|Katiucha Barcelos|Carlos Voltor|Azaghal,not_transcribed,,not_diarized,
"NerdCast 1024 - Qual é a Pauta? Anatomia Viking, Vinho da Casa e Doping de Peru",https://pdst.fm/e/traffic.megaphone.fm/JNPD3536893389.mp3?updated=1775235930,2026-04-03,84m30s,downloaded,NerdCast 1024 - Qual é a Pauta_ Anatomia Viking_ Vinho da Casa e Doping de Peru.mp3,56.5,mp3,ef778ece-2f7d-11f1-ab8f-8f1d64127dec,Alottoni|Sra. Jovem Nerd|Portuguesa|Azaghal,not_transcribed,,not_diarized,
NerdCast 1023 - 25 Anos de O Senhor dos Anéis no Cinema,https://pdst.fm/e/traffic.megaphone.fm/JNPD8918305147.mp3?updated=1774646812,2026-03-27,127m13s,downloaded,NerdCast 1023 - 25 Anos de O Senhor dos Anéis no Cinema.mp3,86.2,mp3,26b17fc8-2a22-11f1-bc28-1760817d53b9,Alottoni|Marcelo Bassoli|Tucano|Carlos Voltor|Portuguesa|Azaghal,not_transcribed,,not_diarized,
NerdCast 1022 - Adedanha de Gente Ruim e Solo de Guitarra no Deserto?,https://pdst.fm/e/traffic.megaphone.fm/JNPD9683974821.mp3?updated=1774028349,2026-03-20,83m08s,downloaded,NerdCast 1022 - Adedanha de Gente Ruim e Solo de Guitarra no Deserto_.mp3,55.4,mp3,43d5d518-2482-11f1-9a0d-83218482d774,Alottoni|Portuguesa|Marcelo Bassoli|Tucano|Dubox|Azaghal,not_transcribed,,not_diarized,
NerdCast 1021 - Oscar 2026: O Orgulho do Brasil Vem na Pirraça e Raparigagem,https://pdst.fm/e/traffic.megaphone.fm/JNPD5181684772.mp3?updated=1773421308,2026-03-13,117m31s,downloaded,NerdCast 1021 - Oscar 2026_ O Orgulho do Brasil Vem na Pirraça e Raparigagem.mp3,79.4,mp3,dbd1e658-1efc-11f1-b8bb-1b6756e52bde,Alottoni|Azaghal|Max Valarezo|Carlos Voltor,not_transcribed,,not_diarized,
"NerdCast 1020 - Qual é a Pauta? Curling, Pagode Alemão e Mamilo do Kratos",https://pdst.fm/e/traffic.megaphone.fm/JNPD1264271752.mp3?updated=1772827662,2026-03-06,107m02s,downloaded,NerdCast 1020 - Qual é a Pauta_ Curling_ Pagode Alemão e Mamilo do Kratos.mp3,71.3,mp3,b409b24c-1996-11f1-bf88-27f0c5239a5e,Alottoni|Didi Braguinha|Sr. K|Katiucha Barcelos|Tucano,not_transcribed,,not_diarized,
NerdCast 1019 - O Cavaleiro dos Sete Reinos (Ou Seriam Nove?),https://pdst.fm/e/traffic.megaphone.fm/JNPD8779769173.mp3?updated=1772218043,2026-02-27,120m33s,downloaded,NerdCast 1019 - O Cavaleiro dos Sete Reinos _Ou Seriam Nove__.mp3,80.9,mp3,0d63ba2c-140b-11f1-b190-5fe5646cb5c1,Alottoni|Tucano|Katiucha Barcelos|Marcelo Bassoli|Eduardo Spohr|Azaghal|Max Valarezo,not_transcribed,,not_diarized,
NerdCast 1018 - Fallout 2: O Que Acontece em New Vegas...,https://pdst.fm/e/traffic.megaphone.fm/JNPD1102313317.mp3?updated=1771012185,2026-02-13,105m05s,downloaded,NerdCast 1018 - Fallout 2_ O Que Acontece em New Vegas___.mp3,70.3,mp3,c8920df6-0913-11f1-b390-6bc12ac62d96,Alottoni|Katiucha Barcelos|Carlos Voltor|Max Valarezo,not_transcribed,,not_diarized,
NerdCast 1017 - Mudanças Climáticas: FATO!,https://pdst.fm/e/traffic.megaphone.fm/JNPD8364294905.mp3?updated=1771875606,2026-02-06,109m02s,downloaded,NerdCast 1017 - Mudanças Climáticas_ FATO_.mp3,73.0,mp3,4ddfdb0a-0397-11f1-bb82-178f1cac93ea,Alottoni|Tucano|André Souza,not_transcribed,,not_diarized,
NerdCast 1016 - Viajar é Se F*der 5: China,https://pdst.fm/e/traffic.megaphone.fm/JNPD7170065998.mp3?updated=1771875573,2026-01-30,129m33s,downloaded,NerdCast 1016 - Viajar é Se F_der 5_ China.mp3,87.1,mp3,618f0c78-fe21-11f0-984c-a3e795e0f87c,Alottoni|Azaghal,not_transcribed,,not_diarized,
NerdCast 1015 - Como Era Bom o Cinema dos Anos 90 - Parte 3,https://pdst.fm/e/traffic.megaphone.fm/JNPD6053139436.mp3?updated=1771875555,2026-01-23,135m19s,downloaded,NerdCast 1015 - Como Era Bom o Cinema dos Anos 90 - Parte 3.mp3,91.1,mp3,3c9f1422-f89e-11f0-a437-c7846daea54e,Alexandre Ottoni|Alottoni|Max Valarezo|Eduardo Spohr|Tucano|Marcelo Bassoli|Gaveta|Azaghal,not_transcribed,,not_diarized,
NerdCast 1014 - Pluribus: A Morte da Individualidade e a Positividade Tóxica,https://pdst.fm/e/traffic.megaphone.fm/JNPD2879355157.mp3?updated=1771513140,2026-01-16,122m19s,downloaded,NerdCast 1014 - Pluribus_ A Morte da Individualidade e a Positividade Tóxica.mp3,82.2,mp3,2faa9b4e-f2f7-11f0-9027-579c49fe23e9,Azaghal|Carlos Voltor|Katiucha Barcelos|Tucano|Eduardo Spohr,not_transcribed,,not_diarized,
NerdCast 1013 - Stranger Things 5: Uma Última Vez em Hawkins e no Upside Down. Ou Não...,https://pdst.fm/e/traffic.megaphone.fm/JNPD2905376726.mp3?updated=1771513129,2026-01-09,109m08s,downloaded,NerdCast 1013 - Stranger Things 5_ Uma Última Vez em Hawkins e no Upside Down_ Ou Não___.mp3,73.1,mp3,57255dce-ed8b-11f0-845d-1b711db211ba,Azaghal|Carlos Voltor|Marcelo Bassoli|Katiucha Barcelos|Tucano|Alexandre Ottoni,not_transcribed,,not_diarized,
NerdCast 1012 - RPG Western 1: Bem-Vindos a Widow Wood,https://pdst.fm/e/traffic.megaphone.fm/JNPD3658284632.mp3,2025-12-27,173m03s,downloaded,NerdCast 1012 - RPG Western 1_ Bem-Vindos a Widow Wood.mp3,237.0,mp3,292d70c8-e37c-11f0-b25d-f735e1277d2b,Alexandre Ottoni|Azaghal|Carlos Voltor|Tucano,not_transcribed,,not_diarized,
"NerdCast 1011 - Lobo: O Maioral, O Flagelo do Cosmos, O Super FDP da DC, O Favorito do Stan Lee",https://pdst.fm/e/traffic.megaphone.fm/JNPD3817118555.mp3?updated=1766171892,2025-12-19,88m38s,downloaded,NerdCast 1011 - Lobo_ O Maioral_ O Flagelo do Cosmos_ O Super FDP da DC_ O Favorito do Stan Lee.mp3,59.0,mp3,3d586236-dd0c-11f0-88b9-af59ab8dbe52,Alottoni|Carlos Voltor|Rex|Azaghal,not_transcribed,,not_diarized,
